index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Blackhand Key	100	1		1		49	41	9gw	Grave Wand			5	5000	blac	blac		inv9gwu				skilltab	6	1	1	dmg-to-mana		5	30	hp		13	75	light		-2	-2	cast3		8	45	res-fire		9	56	nec		1	3	charged	150	8	20																	0
Dark Clan Crusher	100	1		1		42	34	9cl	Cudgel			5	5000	dgld	dgld		invclbu				dru		2	3	dmg-demon		50	300	att-demon		50	300	dmg%		49	293	att%		5	38	demon-heal		4	23																									0
Zakarum's Hand	100	1		1		45	37	9sc	Rune Scepter			5	5000	lpur	lpur						manasteal		2	12	ignore-ac		1	1	regen-mana		3	15	regen-stam		4	23	hit-skill	59	2	8	dmg%		45	330	swing2		8	45	skill	114	1	3	skill	118	1	3													0
The Fetid Sprinkler	100	1		1		46	38	9qs	Holy Water Sprinkler			5	5000								pal		2	3	hit-skill	87	1	1	hit-skill	81	3	1	dmg-pois	100	102	614	dmg%		40	285	att		38	300	dmg-norm		4	38																					0
Hand of Blessed Light	100	1		1		50	42	9ws	Divine Scepter			5	5000	lyel							pal		2	3	dmg%		33	240	att%		25	150	ac		13	75	regen-mana		4	23	light		1	6	dmg-norm		5	68	skill	101	1	6	skill	121	1	3	hit-skill	121	1	6									0
Fleshrender	100	1		1		46	38	9sp	Barbed Club			5	5000	blac			invspcu				openwounds		6	38	noheal		1	1	crush		5	30	deadly		5	30	dmg-norm		9	75	dmg%		33	300	dru		1	1	skilltab	16	1	3	dur		5	30													0
Sureshrill Frost	100	1		1		47	39	9ma	Flanged Mace			5	5000								dmg-cold	125	16	168	nofreeze		1	1	dmg%		38	270	dmg-norm		1	15	freeze		1	5	charged	64	13	14																									0
Moonfall	100	1		1		50	42	9mt	Jagged Star			5	5000				invmstu				hit-skill	56	1	9	dmg-fire		14	173	red-mag		2	18	dmg%		30	225	light		1	3	charged	56	15	17	dmg-norm		3	23																					0
Baezil's Vortex	100	1		1		53	45	9fl	Knout			5	5000	dblu	dblu						hit-skill	48	1	12	dmg-ltng		1	225	mana		25	150	res-ltng		6	38	dmg%		40	300	swing2		5	30	charged	48	20	23																					0
Earthshaker	100	1		1		51	43	9wh	Battle Hammer			5	5000								hit-skill	234	1	11	knock		1	1	swing3		8	45	dmg%		45	270	stupidity		1	1	skilltab	17	1	5	dur		13	75																					0
Bloodtree Stump	100	1		1		56	48	9m9	War Club			5	5000	dred							crush		13	75	dmg%		45	330	res-all		5	30	str		6	38	skilltab	13	1	3	skill	129	1	5	dur		10	60																					0
The Gavel of Pain	100	1		1		53	45	9gm	Martel de Fer			5	5000				inv9gmu				hit-skill	66	1	1	gethit-skill	76	1	1	thorns		7	39	indestruct		1	1	dmg-norm		3	45	dmg%		33	240	charged	66	1	12																					0
Bloodletter	100	1		1		38	30	9ss	Gladius			5	5000	cred	cred						dmg-norm		3	68	att		23	135	lifesteal		2	12	stamdrain		3	15	swing2		5	30	dmg%		35	210	skill	127	1	6	skill	151	1	5	dur		8	45													0
Coldsteel Eye	100	1		1		39	31	9sm	Cutlass			5	5000	dgry			invscmu				stupidity		1	1	slow		8	45	deadly		13	75	dur		13	75	dmg%		50	375	swing2		5	30	manasteal		2	9																					0
Hexfire	100	1		1		41	33	9sb	Shamshir			5	5000				invsbru				charged	62	9	9	ignore-ac		1	1	res-fire		6	38	res-fire-max		3	15	dmg-norm		9	60	dmg%		35	240	fireskill		1	5																					0
Blade of Ali Baba	100	1		1		43	35	9fc	Tulwar			5	5000	cred	cred						sock	3			gold%/lvl	20			mag%/lvl	8			mana		4	23	dmg%		15	180	dex		1	23																									0
Ginther's Rift	100	1		1		45	37	9cr	Dimensional Blade			5	5000	cblu			inv9cru				red-mag		2	18	swing2		8	45	rep-dur	20			dur		10	60	dmg-mag		13	180	dmg%		25	225																									0
Headstriker	100	1		1		47	39	9bs	Battle Sword			5	5000	bwht	bwht						noheal		1	1	str		4	23	deadly/lvl	12			dmg/lvl	8			dmg%		38	225																													0
Plague Bearer	100	1		1		49	41	9ls	Rune Sword			5	5000				inv9lsu				hit-skill	92	1	6	dmg-pois	200	96	576	dmg-norm		3	68	dmg%		38	225	res-pois		11	68	skill	238	1	8																									0
The Atlantian	100	1		1		50	42	9wd	Ancient Sword			5	5000	lblu	lblu						dur		25	150	ac		19	113	str		4	24	dex		3	18	vit		2	12	dmg%		50	375	pal		1	3	att%		13	75																	0
Crainte Vomir	100	1		1		50	42	92h	Espadon			5	5000	lgld			inv2hsu				slow		9	53	dmg-ac		-70	-70	move2		5	30	red-dmg%		3	15	dmg%		40	300	swing3		13	75																									0
Bing Sz Wang	100	1		1		51	43	9cm	Dacian Falx			5	5000								ease		-30	-30	dmg-cold	75	13	210	str		5	30	freeze		1	3	hit-skill	64	1	5	dmg%		33	240																									0
The Vile Husk	100	1		1		52	44	9gs	Tusk Sword			5	5000	dgry	dgry		invgisu				hit-skill	66	2	1	dmg-und/lvl	60			res-pois		13	75	dmg-pois	150	107	639	dmg%		38	300	att-und/lvl	20																											0
Cloudcrack	100	1		1		53	45	9b9	Gothic Sword			5	5000				invbswu				hit-skill	121	2	11	dmg-ltng		1	360	ac		8	45	light		1	3	res-ltng-max		3	15	dmg%		38	300	light-thorns		4	23	skilltab	10	1	3	skilltab	11	1	3													0
Todesfaelle Flamme	100	1		1		54	46	9fb	Zweihander			5	5000				inv9fbu				dmg-fire		13	300	res-fire		10	60	abs-fire		3	15	att-skill	47	3	9	dmg%		30	240	charged	52	11	15	charged	51	5	15																					0
Swordguard	100	1		1		55	48	9gd	Executioner Sword			5	5000	bwht	bwht		invgsdu				ease		-50	-50	ac/lvl	40			res-all		3	30	ac-miss		25	150	dmg-to-mana		8	45	dmg%		43	270	ac-hth		50	300	balance2		5	30	block		5	30													0
Spineripper	100	1		1		40	32	9dg	Poignard			5	5000								ignore-ac		1	1	lifesteal		2	12	noheal		1	1	swing3		4	23	dex		3	15	dmg%		50	360	dmg-norm		4	41	nec		1	1																	0
Heart Carver	100	1		1		44	36	9di	Rondel			5	5000								deadly		9	53	ignore-ac		1	1	dmg-norm		4	53	dmg%		48	360	skill	131	1	6	skill	142	1	6	skill	150	1	6																					0
Blackbog's Sharp	100	1		1		46	38	9kr	Cinquedeas			5	5000				invkrsu				slow		13	75	ac		13	75	dmg-norm		4	68	swing3		8	45	dmg-pois	250	125	750	skill	73	1	8	skill	83	1	6	skill	92	1	6																	0
Stormspike	100	1		1		49	41	9bl	Stilleto			5	5000	cblu	cblu		inv9blu				dmg-ltng		1	180	light-thorns		5	30	gethit-skill	38	6	5	dmg%		38	225	res-ltng/lvl	8																															0
The Impaler	100	1		1		39	31	9sr	War Spear			5	5000	lred	lred						ignore-ac		1	1	att		38	225	swing2		5	30	openwounds		10	60	noheal		1	1	dmg%		35	255	skill	19	1	8	skill	14	1	5																	0
Kelpie Snare	100	1		1		41	33	9tr	Fuscina			5	5000				invtriu				slow		19	113	res-fire		13	75	hp/lvl	10			dmg-norm		8	75	str		3	15	dmg%		35	270																									0
Soulfeast Tine	100	1		1		43	35	9br	War Fork			5	5000	lyel	lyel		inv9bru				ease		-20	-20	lifesteal		2	11	manasteal		2	11	stamdrain		5	30	dmg%		38	285	att		38	375	dur		4	23																					0
Hone Sundan	100	1		1		45	37	9st	Yari			5	5000								sock	3			dmg-norm		5	60	crush		11	68	rep-dur	10			dmg%		40	300																													0
Spire of Honor	100	1		1		47	39	9p9	Lance			5	5000	lgry	lgry						att%		6	38	light		1	5	regen		5	30	balance2		5	30	dmg-norm		5	60	dmg-dem/lvl	12			dmg%		38	300	skilltab	9	1	5	ac%		6	38													0
The Meat Scraper	100	1		1		49	41	9b7	Lochaber Axe			5	5000	dred	dred						dmg%		38	300	swing2		8	45	lifesteal		3	15	openwounds		13	75	mag%		6	38	skilltab	13	1	5																									0
Blackleach Blade	100	1		1		50	42	9vo	Bill			5	5000	blac	blac						ease		-25	-25	hit-skill	72	1	8	light		-2	-2	lifesteal		2	12	dmg/lvl	10			dmg%		25	210																									0
Athena's Wrath	100	1		1		50	42	9s8	Battle Scythe			5	5000				inv9s8u				dru		1	5	dex		4	23	swing2		8	45	hp/lvl	8			dmg/lvl	8			dmg%		38	270																									0
Pierre Tombale Couant	100	1		1		51	43	9pa	Partizan			5	5000	lgld	lgld						deadly		14	83	bar		1	5	balance2		8	45	manasteal		2	9	dmg-norm		3	30	dmg%		40	330	att		25	300																					0
Husoldal Evo	100	1		1		52	44	9h9	Bec-de-Corbin			5	5000								regen		5	30	att		50	375	noheal		1	1	dmg-norm		5	48	dmg%		40	300	swing2		5	30																									0
Grim's Burning Dead	100	1		1		52	45	9wc	Grim Scythe			5	5000	cred	cred						dmg-fire		33	348	res-fire		11	68	dmg%		35	270	thorns		2	12	ease		-50	-50	nec		1	5	reduce-ac		13	75	ac%		5	30	att		50	375													0
Razorswitch	100	1		1		36	28	8ss	Jo Stalf			5	5000	lpur							cast3		8	45	thorns		4	23	mana		44	263	hp		20	120	red-mag		4	23	res-all		13	75	allskills		1	1																					0
Ribcracker	100	1		1		39	31	8ls	Quarterstaff			5	5000	lblu	lblu						dmg-norm		8	98	dmg%		50	450	crush		13	75	dex		4	23	ac		25	150	ac%		25	150	balance2		13	75	swing2		13	75	dur		25	150													0
Chromatic Ire	100	1		1		43	35	8cs	Cedar Staff			5	5000				invcstu				sor		3	5	res-all		5	60	cast1		5	30	light-thorns		5	30	hp%		5	38	skill	61	1	1	skill	63	1	1	skill	65	1	1																	0
Warpspear	100	1		1		47	39	8bs	Gothic Staff			5	5000	cblu	cblu						sor		3	5	ignore-ac		1	1	skill	54	1	5	skill	43	1	5	skill	58	1	5	ac-miss		63	375	*hit-skill	54	13	1	*gethit-skill	54	6	1																	0
Skullcollector	100	1		1		49	41	8ws	Rune Staff			5	5000	blac	blac		inv8wsu				mana%		5	30	mana-kill		5	30	allskills		1	3	mag%/lvl	8																																			0
Skystrike	100	1		1		36	28	8sb	Edge Bow			5	5000								dmg-ltng		1	375	att		25	150	enr		3	15	swing3		8	45	dmg%		38	300	hit-skill	56	1	9	ama		1	1																					0
Riphook	100	1		1		39	31	8hb	Razor Bow			5	5000	cred	cred						openwounds		8	45	dmg%		45	330	slow		8	45	mana		9	53	swing2		8	45	lifesteal		2	15																									0
Kuko Shakaku	100	1		1		41	33	8lb	CedarBow			5	5000	lpur	lpur		inv8lbu				skill	27	3	5	explosivearrow		2	11	dmg%		38	270	pierce		13	75	dmg-fire		10	270	skilltab	0	1	5																									0
Endlesshail	100	1		1		44	36	8cb	Double Bow			5	5000				invcbwu				res-cold		9	53	mana		10	60	ac-miss		13	75	skill	26	1	8	dmg%		45	330	dmg-cold	75	4	45																									0
Whichwild String	100	1		1		47	39	8s8	Short Siege Bow			5	5000	lblu	lblu		inv8s8u				hit-skill	66	2	8	res-all		10	60	deadly/lvl	8			dmg%		38	255	magicarrow		5	30	sock	2																											0
Cliffkiller	100	1		1		49	41	8l8	Long Siege Bow			5	5000	dgld							ama		2	3	dmg%		48	345	ac-miss		20	120	knock		1	1	hp		13	75	dmg-min		1	15	dmg-max		5	45																					0
Magewrath	100	1		1		51	43	8sw	Rune Bow			5	5000	oran			invswbu				manasteal		4	23	red-mag		2	20	skill	22	1	5	att		50	375	dex		3	15	stupidity		1	1	dmg-norm		6	75	dmg%		30	225	ama		1	1													0
Godstrike Arch	100	1		1		54	46	8lw	Gothic Bow			5	5000	lgry	lgry						dmg%		50	375	att%		25	225	dmg-undead		25	300	dmg-demon		25	300	hit-skill	121	1	11	swing2		13	75	regen		3	18																					0
Langer Briser	100	1		1		40	32	8lx	Arbalest			5	5000				inv8lxu				knock		1	1	dmg%		43	300	mag%		8	90	hp		8	45	dmg-max		3	45	openwounds		8	50	dmg-ltng		1	318																					0
Pus Spiter	100	1		1		44	36	8mx	Siege Crossbow			5	5000	cgrn	cgrn		inv8mxu				dmg-pois	200	48	288	hit-skill	91	1	1	nec		1	3	ease		-60	-60	gethit-skill	92	2	9	swing2		3	15	dmg%		38	330	att/lvl	10																			0
Buriza-Do Kyanon	100	1		1		59	41	8hx	Balista			5	5000				invhxbu				pierce		25	150	dex		9	53	ac		19	225	dmg/lvl	20			swing2		20	120	dmg%		38	300	freeze		1	5	dmg-cold	200	8	294																	0
Demon Machine	100	1		1		57	49	8rx	Chu-Ko-Nu			5	5000	blac	blac		invrxbu				ac		80	482	mana		9	54	pierce		17	99	explosivearrow		2	9	dmg-max		17	99	dmg%		31	185	att		158	948																					0
Armor																																																																					0
Peasent Crown	100	1		1		36	28	xap	War Hat			3	5000	lgry							enr		5	30	vit		5	30	allskills		1	1	move2		4	23	regen		2	18	ac%		25	150																									0
Rockstopper	100	1		1		39	31	xkp	Sallet			3	5000				invxkpu				res-ltng		5	60	red-dmg%		3	15	balance2		8	45	ac%		40	330	res-fire		5	75	res-cold		5	60	vit		4	23																					0
Stealskull	100	1		1		43	35	xlm	Casque			3	5000				invhlmu				manasteal		1	8	lifesteal		1	8	balance2		3	15	swing2		3	15	ac%		50	360	mag%		8	75																									0
Darksight Helm	100	1		1		46	38	xhl	Basinet			3	5000	blac	blac		invfhlu				light		-4	-4	ac/lvl	16			nofreeze		1	1	manasteal		1	8	gethit-skill	71	2	5	charged	264	8	8	res-fire		5	60																					0
Valkiry Wing	100	1		1		52	44	xhm	Winged Helm			3	5000	lgld							ac%		38	300	move2		5	30	balance2		5	30	ama		1	3	mana-kill		1	6																													0
Crown of Thieves	100	1		1		57	49	xrn	Grand Crown			3	5000	dgld	dgld		invxrnu				dex		6	38	lifesteal		2	18	hp		13	75	mana		9	53	res-fire		8	50	ac%		40	300	gold%		20	150																					0
Blackhorn's Face	100	1		1		49	41	xsk	Death Mask			3	5000	blac	blac						light-thorns		6	38	slow		5	30	noheal		1	1	abs-ltng		5	30	res-ltng		4	23	ac%		45	330																									0
Vampiregaze	100	1		1		49	41	xh9	Grim Helm			3	5000	cgrn	cgrn		invbhmu				manasteal		2	12	lifesteal		2	12	stamdrain		4	23	red-dmg%		4	30	red-mag		3	23	ac%		25	150	dmg-cold	100	2	33																					0
The Spirit Shroud	100	1		1		36	28	xui	Ghost Armor			3	5000								nofreeze		1	1	allskills		1	1	red-mag		2	17	regen		3	15	ac%		38	225																													0
Skin of the Vipermagi	100	1		1		37	29	xea	SerpentSkin Armor			3	5000	dblu	dblu						ac%		30	180	res-all		5	53	cast3		8	45	red-mag		2	20	allskills		1	1																													0
Skin of the Flayerd One	100	1		1		39	31	xla	Demonhide Armor			3	5000	lred	lred						rep-dur	10			regen		4	38	dur		8	45	lifesteal		1	11	ac%		38	285	thorns		4	23																									0
Ironpelt	100	1		1		41	33	xtu	Tresllised Armor			3	5000	dgry	dgry		invxtuu				dur		31	188	hp		6	38	red-mag		3	24	red-dmg		4	30	ac/lvl	24			ac%		13	150																									0
Spiritforge	100	1		1		43	35	xng	Linked Mail			3	5000								light		4	6	hp/lvl	10			dmg-fire		5	98	res-fire		1	8	ac%		30	240	str		4	23	sock	2																							0
Crow Caw	100	1		1		45	37	xcl	Tigulated Mail			3	5000								openwounds		9	53	ac%		38	270	dex		4	23	balance2		4	23	swing2		4	23	*charged	221	1	8																									0
Shaftstop	100	1		1		46	38	xhn	Mesh Armor			3	5000	dgry							ac-miss		63	375	red-dmg%		8	45	hp		15	90	ac%		45	330																																	0
Duriel's Shell	100	1		1		49	41	xrs	Cuirass			3	5000	oran	oran						str		4	23	ac/lvl	10			hp/lvl	8			ac%		40	300	res-fire		5	30	res-ltng		5	30	res-pois		5	30	res-cold		13	75	nofreeze		1	1	dur		25	150									0
Skullder's Ire	100	1		1		50	42	xpl	Russet Armor			3	5000								allskills		1	1	mag%/lvl	10			ac%		40	300	dur		15	90	red-mag		3	15	rep-dur	20			*vit		-10	-10	*enr		-10	-10																	0
Guardian Angel	100	1		1		53	45	xlt	Templar Coat			3	5000	lgry	lgry						light		4	6	pal		1	1	ac%		45	300	block2		8	45	res-all-max		4	23	att-dem/lvl	5			block		5	30																					0
Toothrow	100	1		1		56	48	xld	Sharktooth Armor			3	5000	whit	whit						thorns		5	60	ac		10	90	str		3	15	openwounds		10	60	res-fire		4	23	ac%		40	330	dur		4	23																					0
Atma's Wail	100	1		1		59	51	xth	Embossed Plate			3	5000								dex		4	23	regen		3	15	mana%		4	23	balance2		8	45	ac/lvl	16			dur		13	75	ac%		30	240	mag%		5	30																	0
Black Hades	100	1		1		61	53	xul	Chaos Armor			3	5000								light		-2	-2	att-demon		50	375	half-freeze		1	1	sock	3			ac%		35	300	dmg-demon		8	90																									0
Corpsemourn	100	1		1		63	55	xar	Ornate Armor			3	5000	blac	blac		invxaru				str		2	12	vit		3	15	res-cold		9	53	gethit-skill	76	2	3	ac%		38	270	dmg-fire		3	54	charged	74	10	8																					0
Que-Hegan's Wisdon	100	1		1		59	51	xtp	Mage Plate			3	5000								cast2		5	30	mana-kill		1	5	red-mag		2	15	enr		4	23	balance2		5	30	ac%		35	240	allskills		1	1																					0
Visceratuant	100	1		1		36	28	xuc	Defender			3	5000	dred			invbucu				sor		1	1	block2		8	45	block		8	45	ac%		25	225	light-thorns		3	15																													0
Mosers Blessed Circle	100	1		1		39	31	xml	Round Shield			3	5000				invxmlu				res-all		6	38	block		6	38	sock	2			ac%		45	330	block2		8	45																													0
Stormchaser	100	1		1		43	35	xrg	Scutum			3	5000	cblu	cblu		invxrgu				dmg-ltng		1	90	block		5	30	half-freeze		1	1	res-ltng		13	75	att		38	225	ac%		40	330	block2		3	15	gethit-skill	59	1	9	gethit-skill	245	1	8													0
Tiamat's Rebuke	100	1		1		46	38	xit	Dragon Shield			3	5000	lgry	lgry		invkitu				dmg-cold	150	7	80	dmg-fire		9	143	dmg-ltng		1	180	res-all		6	53	ac%		35	300	gethit-skill	44	1	14	gethit-skill	48	1	11	gethit-skill	62	1	9	dur		10	60													0
Kerke's Sanctuary	100	1		1		52	44	xow	Pavise			3	5000	lgrn	lgrn		invtowu				red-dmg		3	24	red-mag		4	27	regen		4	23	ac%		45	360	dur		25	150	block		8	45	res-all		5	45																					0
Radimant's Sphere	100	1		1		58	50	xts	Ancient Shield			3	5000				invgtsu				dmg-pois	100	51	306	gethit-skill	92	1	8	res-pois		19	113	ac%		40	300	block		5	30	block2		5	30	charged	83	10	9	dur		5	30																	0
Lidless Wall	100	1		1		49	41	xsh	Grim Shield			3	5000	dgld	dgld		invxshu				light		1	1	allskills		1	1	cast2		5	30	mana-kill		1	8	ac%		20	195	enr		3	15	mana%		3	15																					0
Lance Guard	100	1		1		43	35	xpk	Barbed Shield			3	5000				invxpku				hp		13	75	balance2		8	45	dmg-to-mana		4	23	thorns		12	71	ac%		18	180	deadly		5	30																									0
Venom Grip	100	1		1		37	29	xlg	Demonhide Gloves			5	5000	dgrn							res-pois		8	45	res-pois-max		1	8	dmg-pois	100	38	230	crush		1	8	lifesteal		1	8	ac		4	38	ac%		33	240																					0
Gravepalm	100	1		1		39	32	xvg	Sharkskin Gloves			5	5000								enr		3	15	str		3	15	dmg-undead		25	300	att-undead		25	300	ac%		35	270																													0
Ghoulhide	100	1		1		44	36	xmg	Heavy Bracers			5	5000								att-und/lvl	16			dmg-und/lvl	16			manasteal		1	8	hp		5	30	ac%		38	285																													0
Lavagout	100	1		1		50	42	xtg	Battle Guantlets			5	5000	lyel							res-fire		6	36	half-freeze		1	1	hit-skill	52	1	15	swing2		5	30	ac%		38	300	dmg-fire		3	69	dur		5	30																					0
Hellmouth	100	1		1		55	47	xhg	War Gauntlets			5	5000								dmg-fire		4	108	abs-fire		4	23	ac%		38	300	dur		4	23	hit-skill	56	1	6	hit-skill	225	1	18																									0
Infernostride	100	1		1		37	29	xlb	Demonhide Boots			5	5000								dmg-fire		3	50	move2		5	30	res-fire-max		3	15	res-fire		8	45	light		1	3	ac%		30	225	gold%		10	105	ac		4	23	gethit-skill	46	1	12													0
Waterwalk	100	1		1		40	32	xvb	Sharkskin Boots			5	5000								ac-miss		25	150	move2		5	30	dex		4	23	ac%		45	315	hp		11	98	stam		10	60	res-fire-max		1	8	regen-stam		13	75																	0
Silkweave	100	1		1		44	36	xmb	Mesh Boots			5	5000								ac%		38	285	mana-kill		1	8	ac-miss		50	300	mana%		3	15	move2		8	45																													0
Wartraveler	100	1		1		50	42	xtb	Battle Boots			5	5000								vit		3	15	str		3	15	mag%		8	75	dur		8	45	move2		6	38	ac%		38	285	dmg-norm		4	38	thorns		1	15	stamdrain		10	60													0
Gorerider	100	1		1		55	47	xhb	War Boots			5	5000	dred							ease		-25	-25	deadly		4	23	move2		8	45	crush		4	23	openwounds		3	15	ac%		40	300	dur		3	15	stam		5	30																	0
String of Ears	100	1		1		37	29	zlb	Demonhide Sash			5	5000	lred							red-mag		3	23	red-dmg%		3	23	lifesteal		2	12	ac%		38	270	ac		4	23	dur		3	15																									0
Razortail	100	1		1		39	32	zvb	Sharkskin Belt			5	5000								thorns/lvl	8			dex		4	23	pierce		8	50	ac		4	23	ac%		30	225	dmg-max		3	15																									0
Gloomstrap	100	1		1		45	36	zmb	Mesh Belt			5	5000								light		-3	-3	mana%		4	23	manasteal		1	8	ac%		30	225	vit		4	23	regen-mana		4	23																									0
Snowclash	100	1		1		49	42	ztb	Battle Belt			5	5000								gethit-skill	59	1	0	abs-cold		4	23	res-cold-max		4	23	dmg-cold	75	3	32	ac%		33	255	skill	59	1	3	skill	55	1	5	skill	60	1	3																	0
Thudergod's Vigor	100	1		1		55	47	zhb	War Belt			5	5000								gethit-skill	121	1	11	dmg-ltng		1	75	res-ltng-max		3	15	abs-ltng		5	30	ac%		40	300	vit		5	30	str		5	30	skill	34	1	5	skill	35	1	5													0
Elite Uniques																																																																					0
Harlequin Crest	100	1		1		69	62	uap	Shako			3	5000	cgrn	cgrn						allskills		2	3	hp/lvl	12			mana/lvl	12			mag%		13	75	red-dmg%		3	15	str		1	3	dex		1	3	vit		1	3	enr		1	3													0
Veil of Steel	100	1		1		77	73	uhm	Spired Helm			3	5000	lgry	lgry						res-all		13	75	ac%		15	90	str		4	23	vit		4	23	light		-4	-4	dur		5	30	ac		35	210	*mana		-30	-30																	0
The Gladiator's Bane	100	1		1		85	85	utu	Wire Fleece			3	5000	lgry	lgry						ac%		38	300	red-mag		4	30	red-dmg		4	30	thorns		5	30	res-pois-len		13	75	dur		26	155	balance2		8	45	ac		13	75	nofreeze		1	1													0
Arkaine's Valor	100	1		1		85	85	upl	Balrog Skin			3	5000	lred	lred						ac%		38	270	balance2		8	45	allskills		1	3	red-dmg		3	23	vit/lvl	4																															0
Blackoak Shield	100	1		1		67	61	uml	Luna			3	5000				invsmlu				dex/lvl	4			ac%		40	300	abs-cold/lvl	5			gethit-skill	72	1	8	dur		11	68	hp/lvl	10			block2		13	75	half-freeze		1	1																	0
Stormshield	100	1		1		77	73	uit	Monarch			3	5000				invkitu				ac/lvl	30			red-dmg%		9	53	str		8	45	indestruct		1	1	block2		9	53	res-ltng		6	38	block		6	38	res-cold		15	90	light-thorns		3	15													0
Hellslayer	100	1		1		71	66	7bt	Decapitator			5	5000	dred	dred		invbtxu				str/lvl	4			vit/lvl	4			dmg%/lvl	24			dmg-fire		38	375	hp		6	38	dmg%		25	150	att-skill	47	3	0	*mana		-25	-25																	0
Messerschmidt's Reaver	100	1		1		75	70	7ga	Champion Axe			5	5000	blac	blac		invgaxu				dmg%/lvl	20			dmg%		50	300	str		4	23	dex		4	23	vit		4	23	enr		4	23	dmg-fire		5	360	dur		6	38	att%		25	150													0
Baranar's Star	100	1		1		70	65	7mt	Devil Star			5	5000	lred	lred		invmstu				att%		50	300	dmg%		50	300	dex		4	23	str		4	23	swing2		13	75	dur		25	150	dmg-ltng		1	300	dmg-fire		1	300	dmg-cold		1	300													0
Schaefer's Hammer	100	1		1		83	79	7wh	Legendary Mallet			5	5000	lblu	lblu						hit-skill	42	5	15	hp		13	75	att/lvl	16			res-ltng		19	113	swing2		5	30	dmg/lvl	16			indestruct		1	1	dmg%		25	195	light		1	1	dmg-ltng		13	300									0
The Cranium Basher	100	1		1		85	87	7gm	Thunder Maul			5	5000	blac	blac						swing2		5	30	indestruct		1	1	str		6	38	res-all		6	38	crush		19	113	dmg-norm		5	30	dmg%		50	360	hit-skill	66	1	1	*mana		-30	-30													0
Lightsabre	100	1		5		66	58	7cr	Phase Blade			5	5000	lblu			invcrsu				light		2	11	att-skill	53	1	0	ignore-ac	1	1	1	abs-ltng%		6	38	swing2		5	30	dmg-mag		15	180	dmg-ltng		1	300	manasteal		1	11	dmg%		38	300	dmg-norm		3	45									0
Doombringer	100	1		1		75	69	7b7	Champion Sword			5	5000	dred	dred		invbswu				hp%		5	30	dmg%		45	375	att%		10	60	indestruct		1	1	dmg-norm		8	150	hit-skill	72	2	5	lifesteal		1	11																					0
The Grandfather	100	1		1		85	81	7gd	Colossus Blade			5	5000	lyel	lyel		invgsdu				str		5	30	dex		5	30	vit		5	30	enr		5	30	att%		13	75	hp		20	120	dmg/lvl	20			indestruct		1	1	dmg%		38	375													0
Wizardspike	100	1		1		69	61	7dg	Bone Knife			5	5000	lgry	lgry						mana/lvl	16			regen-mana		4	23	mana%		4	23	res-all		19	113	indestruct		1	1	cast3		13	75																									0
Constricting Ring	100	0		1		95	95	rin	Ring			5	5000	cblu	cblu						res-all		25	150	regen		-30	-30	mag%		25	150	res-all-max		4	23										0																							0
Stormspire	100	1		1		78	70	7wc	Giant Thresher			5	5000	dblu	dblu						res-ltng		13	75	gethit-skill	53	1	8	dmg%		38	375	str		3	15	gethit-skill	38	1	0	swing2		8	45	indestruct		1	1	dmg-ltng		1	356	light-thorns		7	41	*enr		-10	-10									0
Eaglehorn	100	1		1		77	69	6l7	Crusader Bow			5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		50	300	ama		1	1	dex		6	38																									0
Windforce	100	1		1		80	73	6lw	Hydra Bow			5	5000	dyel	dyel						dex		1	8	dmg/lvl	25			regen-stam		8	45	manasteal		2	12	knock		1	1	dmg%		63	375	swing2		5	30	str		3	15																	0
Rings																																																																					0
Bul Katho's Wedding Band	100	1		1		66	58	rin	Ring			5	5000	dpur	dpur						hp/lvl	4			allskills		1	1	lifesteal		1	8	stam		13	75																																	0
The Cat's Eye	100	1		5		58	50	amu	Amulet			5	5000	oran	oran						move2		8	45	swing2		5	30	ac		25	150	ac-miss		25	150	dex		6	38																													0
The Rising Sun	100	1		5		73	65	amu	Amulet			5	5000	lgld	lgld						abs-fire/lvl	6			light		1	6	gethit-skill	56	1	0	dmg-fire		6	72	fireskill		1	3	regen		3	15																									0
Crescent Moon	100	1		5		58	50	amu	Amulet			5	5000	lblu	lblu						manasteal		3	23	red-mag		3	15	dmg-to-mana		3	15	light		-2	-2	mana		11	68	lifesteal		1	9																									0
Mara's Kaleidoscope	100	1		5		80	67	amu	Amulet			5	5000	oran	oran						allskills		2	3	res-all		5	45	str		1	8	dex		1	8	vit		1	8	enr		1	8																									0
Atma's Scarab	100	1		5		60	60	amu	Amulet			5	5000	cgrn	cgrn						dmg-pois	100	26	153	res-pois		19	113	light		1	5	thorns		1	8	hit-skill	66	1	3	att%		5	30																									0
Dwarf Star	100	1		10		53	45	rin	Ring			5	5000	dgry	dgry						gold%		25	150	stam		10	60	regen-stam		4	23	hp		10	60	red-mag		3	23	abs-fire%		4	23																									0
